Submitted at,Group #3,nome,Group #6,Group #8,Group #8 (1)
"25 de fev., 16:08",📅 Agendar horário,,,,
"24 de fev., 19:25",👤 Falar com barbeiro,,,,
"24 de fev., 14:26",📅 Agendar horário,"Mayra Duarte ",Corte + Barba,,
"24 de fev., 14:26",📅 Agendar horário,"Wallace ",Corte + Barba,,
"24 de fev., 14:01",👤 Falar com barbeiro,,,,
"24 de fev., 12:14",📅 Agendar horário,"Wallace ",Corte + Barba,,
"24 de fev., 12:03",✂️ Cortes e Valores,,,,
"24 de fev., 11:57",👤 Falar com barbeiro,,,,
"24 de fev., 11:46",🔥 Promoções,,,,
"24 de fev., 11:40",🔥 Promoções,Wallace,,Quero essa promoção!,
"24 de fev., 11:29",📅 Agendar horário,Wallace,Corte,,
"24 de fev., 11:27",📅 Agendar horário,Wallace,Corte + Barba,,
"24 de fev., 11:25",📅 Agendar horário,"Wallace ",,,
"24 de fev., 11:16",📅 Agendar horário,Wallace,Corte + Barba,,
"24 de fev., 11:14",📅 Agendar horário,Wallace,,,
"24 de fev., 11:14",🔥 Promoções,Wallace,,Quero essa promoção!,
"24 de fev., 11:08",🔥 Promoções,Wallace,,Quero essa promoção!,
"24 de fev., 11:07",📅 Agendar horário,Wallace,Corte + Barba,,
"24 de fev., 11:00",📅 Agendar horário,Wallace,,,
"24 de fev., 10:59",🔥 Promoções,Wallace,,Quero essa promoção!,
"24 de fev., 10:51",🔥 Promoções,Wallace,,Quero essa promoção!,
"24 de fev., 10:51",📅 Agendar horário,Wallace,,,
"24 de fev., 10:49",📅 Agendar horário,Wallace,,,
"24 de fev., 10:37",🔥 Promoções,,,Quero essa promoção!,
"24 de fev., 10:34",🔥 Promoções,,,Quero essa promoção!,
"24 de fev., 10:33",📅 Agendar horário,Wallace,Corte + Barba,,
"24 de fev., 10:32",📅 Agendar horário,wallace,Corte + Barba,,
